Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fix_quality
1676486468.2671163,0,1676486468,20000000,GPS1_Frame,42.338990876666664,-71.08817494833333,44.966,1.1,327979.6193094511,4689526.86261206,184108.2,19,T,1
1676486469.2648056,0,1676486469,20000000,GPS1_Frame,42.33901249666667,-71.08817753666666,47.841,1.1,327979.4650343034,4689529.268585289,184109.2,19,T,1
1676486470.25839,0,1676486470,20000000,GPS1_Frame,42.33883253333333,-71.08816589333334,23.905,1.1,327979.93348747864,4689509.261468809,184110.2,19,T,1
1676486471.2650251,0,1676486471,20000000,GPS1_Frame,42.338840425,-71.08816617833334,25.399,1.1,327979.9315284981,4689510.1383550055,184111.2,19,T,1
1676486472.264014,0,1676486472,20000000,GPS1_Frame,42.33884912166667,-71.08816656,26.834,1.1,327979.9238011015,4689511.104825902,184112.2,19,T,1
1676486473.2645807,0,1676486473,20000000,GPS1_Frame,42.33882132833333,-71.08816381333334,23.543,1.2,327980.0742869985,4689508.013030687,184113.2,19,T,1
1676486474.2657416,0,1676486474,20000000,GPS1_Frame,42.3387744,-71.08816102,17.385,3.0,327980.1764383416,4689502.796344755,184114.2,19,T,5
1676486475.2667987,0,1676486475,20000000,GPS1_Frame,42.338781553333334,-71.08816144333333,18.483,1.0,327980.16106971464,4689503.591524496,184115.2,19,T,1
1676486476.2904203,0,1676486476,20000000,GPS1_Frame,42.33878663,-71.08816106833333,19.516,1.3,327980.2058065644,4689504.154491093,184116.2,19,T,1
1676486477.2719872,0,1676486477,20000000,GPS1_Frame,42.338796685,-71.08816067666666,21.281,1.4,327980.26549187535,4689505.270230054,184117.2,19,T,1
1676486478.267115,0,1676486478,20000000,GPS1_Frame,42.33881077833333,-71.08816099,23.513,1.7,327980.2781100054,4689506.83582152,184118.2,19,T,1
1676486479.25878,0,1676486479,20000000,GPS1_Frame,42.338829606666664,-71.08816096166667,26.565,2.1,327980.3317872358,4689508.926507537,184119.2,19,T,1
1676486480.2692697,0,1676486480,20000000,GPS1_Frame,42.33885323,-71.08816062,30.289,1.5,327980.4243530165,4689511.549007976,184120.2,19,T,1
1676486481.2683308,0,1676486481,20000000,GPS1_Frame,42.338895095,-71.08816138166667,36.455,1.3,327980.4757674384,4689516.1993390415,184121.2,19,T,1
1676486482.2701974,0,1676486482,20000000,GPS1_Frame,42.33887012,-71.0881576,33.65,3.0,327980.71920392034,4689513.418404437,184122.2,19,T,5
1676486483.2730613,0,1676486483,20000000,GPS1_Frame,42.33885915333333,-71.08815482333333,32.647,3.0,327980.91804610816,4689512.1950220205,184123.2,19,T,5
1676486484.271953,0,1676486484,20000000,GPS1_Frame,42.33886097333333,-71.088152795,33.352,3.0,327981.0901071214,4689512.393015719,184124.2,19,T,5
1676486485.3000731,0,1676486485,20000000,GPS1_Frame,42.338859846666665,-71.08815134166667,33.489,3.0,327981.2067632531,4689512.264967744,184125.2,19,T,5
1676486486.2874115,0,1676486486,20000000,GPS1_Frame,42.33885505333333,-71.08814969666666,33.298,3.0,327981.3292106608,4689511.729376548,184126.2,19,T,5
1676486487.2811368,0,1676486487,20000000,GPS1_Frame,42.33885288333333,-71.08814848833333,33.602,3.0,327981.4228381743,4689511.485969993,184127.2,19,T,5
1676486488.2754807,0,1676486488,20000000,GPS1_Frame,42.33885018666667,-71.08814707,33.718,3.0,327981.53232974524,4689511.183656265,184128.2,19,T,5
1676486489.2701943,0,1676486489,20000000,GPS1_Frame,42.33884512833333,-71.08814595333334,33.449,17.8,327981.6105294367,4689510.6197076915,184129.2,19,T,5
1676486490.2739084,0,1676486490,20000000,GPS1_Frame,42.33883979666667,-71.08814548666666,33.034,0.9,327981.6344355113,4689510.026722525,184130.2,19,T,1
1676486491.2781072,0,1676486491,20000000,GPS1_Frame,42.338836773333334,-71.08814254833334,33.07,0.9,327981.8682569496,4689509.685059891,184131.2,19,T,1
1676486492.2803562,0,1676486492,20000000,GPS1_Frame,42.338830745,-71.08813837,33.056,0.9,327982.19603781163,4689509.007206255,184132.2,19,T,1
1676486493.28034,0,1676486493,20000000,GPS1_Frame,42.338822828333335,-71.08813548833334,32.656,1.0,327982.4118475059,4689508.1222908,184133.2,19,T,1
1676486494.2865272,0,1676486494,20000000,GPS1_Frame,42.338814545,-71.08813283833334,32.016,1.3,327982.60757224995,4689507.197128483,184134.2,19,T,1
1676486495.2670004,0,1676486495,20000000,GPS1_Frame,42.338806176666665,-71.088130035,31.245,1.2,327982.8156971805,4689506.262217368,184135.2,19,T,1
1676486496.279524,0,1676486496,20000000,GPS1_Frame,42.33883062833333,-71.08809577666666,42.626,0.9,327985.70464321575,4689508.908083311,184136.2,19,T,1
1676486497.28283,0,1676486497,20000000,GPS1_Frame,42.338731941666666,-71.087991765,51.975,0.9,327994.0042440861,4689497.739266761,184137.2,19,T,1
1676486498.2887774,0,1676486498,20000000,GPS1_Frame,42.33872870166667,-71.08798788666667,52.322,1.4,327994.3149149772,4689497.371643851,184138.2,19,T,1
1676486499.269588,0,1676486499,20000000,GPS1_Frame,42.338906558333335,-71.08817802166666,35.295,1.1,327979.1361922546,4689517.505919349,184139.2,19,T,1
1676486500.268143,0,1676486500,20000000,GPS1_Frame,42.33890755,-71.08817821,35.277,1.1,327979.1233812056,4689517.616417416,184140.2,19,T,1
1676486501.265844,0,1676486501,20000000,GPS1_Frame,42.33894371,-71.08820006666667,35.285,1.2,327977.4213946397,4689521.675929148,184141.2,19,T,1
1676486502.2823813,0,1676486502,20000000,GPS1_Frame,42.338942255,-71.08820562666666,33.684,1.5,327976.9593838584,4689521.525611017,184142.2,19,T,1
1676486503.2727587,0,1676486503,20000000,GPS1_Frame,42.33913878166667,-71.088506275,-5.809,1.5,327952.72742005193,4689543.956698447,184143.2,19,T,1
1676486504.2785976,0,1676486504,20000000,GPS1_Frame,42.339131161666664,-71.08848778166667,-2.763,1.9,327954.230147831,4689543.073135696,184144.2,19,T,1
1676486505.2761655,0,1676486505,20000000,GPS1_Frame,42.33909834833333,-71.08853537,-18.687,1.5,327950.2202494483,4689539.525755521,184145.2,19,T,1
1676486506.2726498,0,1676486506,20000000,GPS1_Frame,42.339106925,-71.088543265,-19.202,1.3,327949.5932385579,4689540.494104387,184146.2,19,T,1
1676486507.264078,0,1676486507,20000000,GPS1_Frame,42.339097615,-71.08852673166666,-16.646,1.1,327950.9298894396,4689539.426845248,184147.2,19,T,1
1676486508.2743607,0,1676486508,20000000,GPS1_Frame,42.33916922666667,-71.08852745333333,-6.214,1.0,327951.06575104524,4689547.380237449,184148.2,19,T,1
1676486509.269675,0,1676486509,20000000,GPS1_Frame,42.339142781666666,-71.08850553833334,-5.133,1.0,327952.79901730886,4689544.399377495,184149.2,19,T,1
1676486510.268761,0,1676486510,20000000,GPS1_Frame,42.33911895166667,-71.08848880166667,-4.68,1.0,327954.1128176617,4689541.719371764,184150.2,19,T,1
