Time,header,latitude,longitude,altitude,utm_easting,HDOP,UTC,utm_northing,zone,letter
1675727489.4267871,$GPGGA,42.339328333333334,-71.08690833333334,28.9,328084.8849698621,2.3,235130.0,4689561.772902913,19,T
1675727490.4270668,$GPGGA,42.339328333333334,-71.08690833333334,28.9,328084.8849698621,2.3,235131.0,4689561.772902913,19,T
1675727491.4276662,$GPGGA,42.339328333333334,-71.08690833333334,28.9,328084.8849698621,2.3,235132.0,4689561.772902913,19,T
1675727492.4263792,$GPGGA,42.339324999999995,-71.08690833333334,29.0,328084.8758855485,2.3,235133.0,4689561.402761576,19,T
1675727493.428457,$GPGGA,42.339324999999995,-71.08690833333334,29.0,328084.8758855485,2.3,235134.0,4689561.402761576,19,T
1675727494.4263704,$GPGGA,42.33932333333334,-71.08690833333334,29.1,328084.87134339195,2.3,235135.0,4689561.217690909,19,T
1675727495.427543,$GPGGA,42.33932333333334,-71.08690833333334,29.1,328084.87134339195,2.3,235136.0,4689561.217690909,19,T
1675727496.4271483,$GPGGA,42.33932166666667,-71.08690666666666,29.7,328085.0041034728,2.3,235137.0,4689561.029250456,19,T
1675727497.426036,$GPGGA,42.33932166666667,-71.08690666666666,29.7,328085.0041034728,2.3,235138.0,4689561.029250456,19,T
1675727498.4278274,$GPGGA,42.33932166666667,-71.08690666666666,29.7,328085.0041034728,2.3,235139.0,4689561.029250456,19,T
1675727499.4280045,$GPGGA,42.33932166666667,-71.08690666666666,29.7,328085.0041034728,2.3,235140.0,4689561.029250456,19,T
1675727500.428568,$GPGGA,42.33932166666667,-71.08690666666666,29.7,328085.0041034728,2.3,235141.0,4689561.029250456,19,T
1675727501.4284189,$GPGGA,42.33932166666667,-71.08690666666666,29.7,328085.0041034728,2.3,235142.0,4689561.029250456,19,T
1675727502.4693303,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235143.0,4689561.029250456,19,T
1675727503.4297009,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235144.0,4689561.029250456,19,T
1675727504.4687774,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235145.0,4689561.029250456,19,T
1675727505.4693937,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235146.0,4689561.029250456,19,T
1675727506.4681356,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235147.0,4689561.029250456,19,T
1675727507.429221,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235148.0,4689561.029250456,19,T
1675727508.4690921,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235149.0,4689561.029250456,19,T
1675727509.429204,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235150.0,4689561.029250456,19,T
1675727510.4281917,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235151.0,4689561.029250456,19,T
1675727511.4289088,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235152.0,4689561.029250456,19,T
1675727512.4687424,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235153.0,4689561.029250456,19,T
1675727513.4294975,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235154.0,4689561.029250456,19,T
1675727514.468976,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235155.0,4689561.029250456,19,T
1675727515.4692085,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235156.0,4689561.029250456,19,T
1675727516.4268835,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235157.0,4689561.029250456,19,T
1675727517.424767,$GPGGA,42.33932166666667,-71.08690666666666,29.8,328085.0041034728,2.3,235158.0,4689561.029250456,19,T
